--- Categories ---
E'lonlar | Объявления | Announcements
Moliyaviy hisobotlar | Важные факты | Important Facts
Muhim faktlar | Важные факты | Important Facts
Ustav | Устав | Charter

--- Documents ---
«Oʻzenergotaʼminlash» AJ ortiqcha tovar-moddiy zaxiralarini sotadi | АО "O'zenergotaminlash" реализует излишки товарно-материальных запасов | JSC "O'zenergotaminlash" to sell surplus inventory
Boshqalar_2016-07-21 |  | 
Boshqalar_2016-10-13 |  | 
Boshqalar_2017-10-26 |  | 
Boshqalar_2018-06-21 |  | 
Boshqalar_2019-03-28 |  | 
Boshqalar_2024-01-22 |  | 
Boshqalar_2024-01-22_1 |  | 
Tanlovlar va tenderlar_2017-07-11 |  | 
Tanlovlar va tenderlar_2021-02-11 |  | 
Tanlovlar va tenderlar_2021-02-11_1 |  | 
Tanlovlar va tenderlar_2021-02-11_2 |  | 
Tanlovlar va tenderlar_2021-02-23 |  | 
Tanlovlar va tenderlar_2021-08-09 |  | 
Tanlovlar va tenderlar_2023-03-16 |  | 
Tanlovlar va tenderlar_2026-04-24 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2017-05-31 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2017-11-28 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2018-06-21 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2019-03-28 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2019-04-01 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2021-05-11 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2022-01-17 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2022-05-25 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2022-08-12 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2022-08-24 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2022-08-24_1 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2022-10-14 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2022-10-26 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2023-06-07 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2023-12-21 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2024-01-15 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2024-02-01 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2024-02-05 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2024-03-07 |  | 
Umumiy aksiyadorlar yig'ilishini o'tkazish_2025-06-12 |  | 
Auditorlik xulosasi_Auditorlik xulosalari_2016-07-01 |  | 
Auditorlik xulosasi_Auditorlik xulosalari_2017-04-28 |  | 
Auditorlik xulosasi_Auditorlik xulosalari_2018-06-27 |  | 
Auditorlik xulosasi_Auditorlik xulosalari_2019-03-29 |  | 
Auditorlik xulosasi_Auditorlik xulosalari_2020-10-02 |  | 
Auditorlik xulosasi_Auditorlik xulosalari_2021-05-19 |  | 
Auditorlik xulosasi_Auditorlik xulosalari_2022-06-13 |  | 
Auditorlik xulosasi_Auditorlik xulosalari_2026-06-04 |  | 
Choraklik hisobot_BHMS_2016-04-29 |  | 
Choraklik hisobot_BHMS_2016-04-29 (XLSX) |  | 
Choraklik hisobot_BHMS_2016-07-26 |  | 
Choraklik hisobot_BHMS_2016-07-26 (XLSX) |  | 
Choraklik hisobot_BHMS_2016-10-25 |  | 
Choraklik hisobot_BHMS_2016-10-25 (XLSX) |  | 
Choraklik hisobot_BHMS_2017-04-28 |  | 
Choraklik hisobot_BHMS_2017-04-28 (XLSX) |  | 
Choraklik hisobot_BHMS_2017-07-28 |  | 
Choraklik hisobot_BHMS_2017-07-28 (XLSX) |  | 
Choraklik hisobot_BHMS_2017-10-26 |  | 
Choraklik hisobot_BHMS_2017-10-26 (XLSX) |  | 
Choraklik hisobot_BHMS_2018-04-30 |  | 
Choraklik hisobot_BHMS_2018-04-30 (XLSX) |  | 
Choraklik hisobot_BHMS_2018-07-30 |  | 
Choraklik hisobot_BHMS_2018-07-30 (XLSX) |  | 
Choraklik hisobot_BHMS_2018-10-26 |  | 
Choraklik hisobot_BHMS_2018-10-26 (XLSX) |  | 
Choraklik hisobot_BHMS_2019-04-29 |  | 
Choraklik hisobot_BHMS_2019-04-29 (XLSX) |  | 
Choraklik hisobot_BHMS_2019-10-30 |  | 
Choraklik hisobot_BHMS_2019-10-30 (XLSX) |  | 
Choraklik hisobot_BHMS_2019-11-18 |  | 
Choraklik hisobot_BHMS_2019-11-18 (XLSX) |  | 
Choraklik hisobot_BHMS_2020-04-29 |  | 
Choraklik hisobot_BHMS_2020-04-29 (XLSX) |  | 
Choraklik hisobot_BHMS_2020-07-30 |  | 
Choraklik hisobot_BHMS_2020-07-30 (XLSX) |  | 
Choraklik hisobot_BHMS_2020-10-31 |  | 
Choraklik hisobot_BHMS_2020-10-31 (XLSX) |  | 
Choraklik hisobot_BHMS_2021-05-03 |  | 
Choraklik hisobot_BHMS_2021-05-03 (XLSX) |  | 
Choraklik hisobot_BHMS_2021-07-30 |  | 
Choraklik hisobot_BHMS_2021-07-30 (XLSX) |  | 
Choraklik hisobot_BHMS_2021-10-28 |  | 
Choraklik hisobot_BHMS_2021-10-28 (XLSX) |  | 
Choraklik hisobot_BHMS_2022-04-29 |  | 
Choraklik hisobot_BHMS_2022-04-29 (XLSX) |  | 
Choraklik hisobot_BHMS_2022-08-01 |  | 
Choraklik hisobot_BHMS_2022-08-01 (XLSX) |  | 
Choraklik hisobot_BHMS_2022-10-31 |  | 
Choraklik hisobot_BHMS_2022-10-31 (XLSX) |  | 
Choraklik hisobot_BHMS_2023-04-28 |  | 
Choraklik hisobot_BHMS_2023-04-28 (XLSX) |  | 
Choraklik hisobot_BHMS_2023-08-01 |  | 
Choraklik hisobot_BHMS_2023-08-01 (XLSX) |  | 
Choraklik hisobot_BHMS_2023-10-30 |  | 
Choraklik hisobot_BHMS_2023-10-30 (XLSX) |  | 
Choraklik hisobot_BHMS_2024-04-29 |  | 
Choraklik hisobot_BHMS_2024-04-29 (XLSX) |  | 
Choraklik hisobot_BHMS_2024-07-30 |  | 
Choraklik hisobot_BHMS_2024-07-30 (XLSX) |  | 
Choraklik hisobot_BHMS_2024-10-31 |  | 
Choraklik hisobot_BHMS_2024-10-31 (XLSX) |  | 
Choraklik hisobot_BHMS_2025-04-30 |  | 
Choraklik hisobot_BHMS_2025-04-30 (XLSX) |  | 
Choraklik hisobot_BHMS_2025-07-30 |  | 
Choraklik hisobot_BHMS_2025-07-30 (XLSX) |  | 
Choraklik hisobot_BHMS_2025-10-31 |  | 
Choraklik hisobot_BHMS_2025-10-31 (XLSX) |  | 
Choraklik hisobot_BHMS_2026-04-30 |  | 
Choraklik hisobot_BHMS_2026-04-30 (XLSX) |  | 
Moliyaviy hisobot_MHXS_2016-07-26 |  | 
Moliyaviy hisobot_MHXS_2017-07-06 |  | 
Moliyaviy hisobot_MHXS_2018-06-26 |  | 
Moliyaviy hisobot_MHXS_2019-04-01 |  | 
Moliyaviy hisobot_MHXS_2021-05-19 |  | 
Moliyaviy hisobot_MHXS_2022-06-15 |  | 
Moliyaviy hisobot_MHXS_2023-07-11 |  | 
Moliyaviy hisobot_MHXS_2025-06-17 |  | 
Moliyaviy hisobot_MHXS_2025-06-17_1 |  | 
Yillik hisobot_BHMS_2016-07-01 |  | 
Yillik hisobot_BHMS_2016-07-01 (XLSX) |  | 
Yillik hisobot_BHMS_2017-07-05 |  | 
Yillik hisobot_BHMS_2017-07-05 (XLSX) |  | 
Yillik hisobot_BHMS_2018-07-04 |  | 
Yillik hisobot_BHMS_2018-07-04 (XLSX) |  | 
Yillik hisobot_BHMS_2019-04-30 |  | 
Yillik hisobot_BHMS_2019-04-30 (XLSX) |  | 
Yillik hisobot_BHMS_2020-10-13 |  | 
Yillik hisobot_BHMS_2020-10-13 (XLSX) |  | 
Yillik hisobot_BHMS_2021-06-15 |  | 
Yillik hisobot_BHMS_2021-06-15 (XLSX) |  | 
Yillik hisobot_BHMS_2022-07-04 |  | 
Yillik hisobot_BHMS_2022-07-04 (XLSX) |  | 
Yillik hisobot_BHMS_2023-07-10 |  | 
Yillik hisobot_BHMS_2023-07-10 (XLSX) |  | 
Yillik hisobot_BHMS_2024-03-26 |  | 
Yillik hisobot_BHMS_2024-03-26 (XLSX) |  | 
20% dan ortiq kapitalga teng aksiyalarni sotib olish_2025-11-07 |  | 
35% aksiyalarning egasi_2025-11-07 |  | 
50% dan ortiq aktivlar uchun qarz olish_2022-02-10 |  | 
50% dan ortiq kapital uchun qarz olish_2022-02-10 |  | 
Affillangan shaxs bilan bitim_2016-03-03 |  | 
Affillangan shaxs bilan bitim_2016-03-10 |  | 
Affillangan shaxs bilan bitim_2021-07-14 |  | 
Affillangan shaxs bilan bitim_2022-04-09 |  | 
Affillangan shaxs bilan bitim_2022-08-29 |  | 
